customer_id,signup_date,region,acquisition_channel
10062,2023-06-28,West,Email
10063,2022-09-25,North,Organic
10064,2023-12-08,West,Organic
10065,2022-10-27,North,Organic
10066,2022-08-26,East,Paid Search
10067,2023-10-24,West,Referral
10068,2022-09-28,West,Social
10069,2022-02-25,West,Organic
10070,2022-12-09,South,Paid Search
10071,2023-08-04,West,Organic
10072,2022-05-19,East,Organic
10073,2022-12-04,East,Organic
10074,2022-04-05,North,Email
10075,2023-05-17,North,Email
10076,2022-12-14,East,Social
10077,2022-08-30,North,Social
10078,2022-06-15,East,Organic
10079,2023-02-17,West,Social
10080,2023-05-04,West,Organic
10081,2023-11-18,North,Paid Search
10082,2022-11-16,West,Paid Search
10083,2022-04-28,North,Organic
10084,2023-08-31,South,Organic
10085,2023-04-05,West,Organic
10086,2023-05-27,North,Organic
10087,2022-03-12,North,Referral
10088,2022-08-17,North,Organic
10089,2023-07-15,East,Paid Search
10090,2023-08-31,West,Referral
10091,2022-11-14,North,Paid Search
10092,2023-08-11,North,Paid Search
10093,2023-09-07,East,Referral
10094,2022-10-10,North,Organic
10095,2023-10-18,East,Organic
10096,2022-07-30,West,Paid Search
10097,2022-06-24,West,Paid Search
10098,2023-05-14,West,Social
10099,2023-04-10,East,Organic
10100,2022-04-13,West,Email
10101,2023-08-31,North,Email
10102,2022-05-26,North,Referral
10103,2023-08-11,East,Organic
10104,2022-01-06,North,Organic
10105,2023-08-05,West,Referral
10106,2023-07-29,East,Email
10107,2023-07-24,West,Organic
10108,2023-05-01,South,Organic
10109,2022-12-11,South,Social
10110,2023-05-30,East,Paid Search
10111,2022-07-22,North,Paid Search
10112,2023-07-24,East,Social
10113,2023-02-10,East,Organic
10114,2022-12-02,West,Organic
10115,2023-01-05,East,Email
10116,2023-02-20,North,Social
10117,2022-01-28,South,Organic
10118,2022-04-13,East,Email
10119,2022-06-29,North,Organic
10120,2022-03-25,South,Organic
10121,2022-11-17,South,Referral
10122,2023-05-03,North,Organic
10123,2023-04-23,East,Organic
10124,2022-12-10,North,Social
10125,2023-09-17,East,Paid Search
10126,2023-02-17,North,Paid Search
10127,2022-02-27,East,Social
10128,2023-07-13,North,Organic
10129,2023-02-24,West,Email
10130,2023-04-09,North,Organic
10131,2023-02-17,East,Organic
10132,2023-02-09,South,Email
10133,2022-03-08,North,Organic
10134,2023-02-13,South,Social
10135,2023-08-04,West,Referral
10136,2022-08-10,West,Social
10137,2023-03-17,South,Paid Search
10138,2022-01-23,North,Organic
10139,2022-09-11,East,Social
10140,2022-11-15,East,Paid Search
10141,2023-12-19,North,Email
10142,2022-06-06,West,Social
10143,2022-07-21,East,Organic
10144,2022-10-26,East,Organic
10145,2023-12-26,South,Email
10146,2023-09-15,South,Email
10147,2022-01-26,North,Organic
10148,2022-06-20,West,Email
10149,2023-08-23,North,Social
10150,2022-02-12,West,Paid Search
10151,2023-09-17,West,Organic
10152,2022-07-25,East,Email
10153,2023-11-01,North,Social
10154,2022-08-03,North,Referral
10155,2022-11-14,South,Organic
10156,2023-04-29,East,Social
10157,2022-04-03,West,Social
10158,2023-02-11,South,Email
10159,2023-01-04,West,Organic
10160,2023-07-27,North,Organic
10161,2023-12-29,South,Paid Search
10162,2023-04-30,North,Organic
10163,2022-10-26,East,Organic
10164,2022-10-24,North,Referral
10165,2022-11-02,North,Organic
10166,2023-08-18,West,Referral
10167,2022-08-23,East,Paid Search
10168,2022-05-02,North,Social
10169,2022-09-02,North,Organic
10170,2022-01-17,East,Email
10171,2022-03-19,South,Paid Search
10172,2022-03-07,North,Referral
10173,2023-07-18,East,Organic
10174,2023-06-12,North,Organic
10175,2023-05-24,East,Referral
10176,2022-12-04,South,Organic
10177,2023-06-08,North,Email
10178,2022-04-28,North,Organic
10179,2023-10-20,North,Organic
10180,2023-01-01,North,Email
10181,2023-11-16,South,Paid Search
10182,2022-04-22,West,Email
10183,2022-12-30,West,Paid Search
10184,2023-05-24,South,Social
10185,2022-12-28,East,Referral
10186,2022-11-22,East,Organic
10187,2022-05-02,West,Paid Search
10188,2022-10-06,North,Paid Search
10189,2022-06-24,South,Social
10190,2022-08-09,South,Paid Search
10191,2023-05-15,North,Email
10192,2023-04-06,South,Paid Search
10193,2023-03-20,West,Email
10194,2022-09-22,West,Social
10195,2023-12-02,North,Paid Search
10196,2022-03-05,South,Paid Search
10197,2022-09-08,South,Organic
10198,2022-03-28,South,Paid Search
10199,2022-09-05,East,Organic
10200,2023-12-04,North,Social
10201,2022-09-25,West,Paid Search
10202,2023-10-26,West,Organic
10203,2022-12-28,East,Organic
10204,2023-05-26,East,Paid Search
10205,2022-11-30,East,Referral
10206,2022-07-14,South,Organic
10207,2023-07-12,North,Organic
10208,2023-12-09,East,Paid Search
10209,2022-07-12,North,Referral
10210,2023-07-23,West,Social
10211,2022-07-10,South,Organic
10212,2023-06-08,South,Email
10213,2023-07-30,South,Social
10214,2022-11-25,West,Social
10215,2023-06-22,North,Paid Search
10216,2022-07-18,North,Social
10217,2022-02-27,North,Email
10218,2022-03-12,East,Organic
10219,2022-11-23,West,Organic
10220,2023-10-21,North,Paid Search
10221,2022-04-04,West,Organic
10222,2022-11-29,North,Paid Search
10223,2023-05-29,East,Social
10224,2022-05-28,North,Social
10225,2023-06-11,South,Organic
10226,2022-08-12,East,Organic
10227,2023-08-14,East,Email
10228,2023-02-27,North,Paid Search
10229,2023-02-04,West,Organic
10230,2022-05-10,West,Social
10231,2022-12-05,South,Organic
10232,2023-09-18,East,Organic
10233,2022-01-15,West,Social
10234,2023-07-08,North,Email
10235,2022-12-26,West,Paid Search
10236,2023-06-10,South,Email
10237,2023-04-30,West,Referral
10238,2022-11-12,North,Organic
10239,2022-08-14,South,Email
10240,2023-04-03,East,Organic
10241,2022-04-13,East,Paid Search
10242,2023-03-03,West,Paid Search
10243,2022-03-11,West,Paid Search
10244,2023-04-20,North,Organic
10245,2023-04-04,North,Social
10246,2022-03-03,South,Paid Search
10247,2023-07-07,South,Social
10248,2022-10-31,South,Paid Search
10249,2023-07-29,West,Social
10250,2022-01-31,West,Paid Search
10251,2022-05-12,North,Paid Search
10252,2022-12-27,South,Email
10253,2022-05-18,East,Social
10254,2022-08-29,South,Paid Search
10255,2023-04-28,North,Paid Search
10256,2022-04-16,South,Email
10257,2023-05-10,South,Email
10258,2022-03-17,North,Paid Search
10259,2022-05-08,West,Social
10260,2023-03-05,South,Paid Search
10261,2023-08-03,East,Paid Search
10262,2022-05-05,East,Email
10263,2022-08-07,West,Referral
10264,2023-11-07,North,Organic
10265,2023-12-24,North,Organic
10266,2023-03-01,South,Organic
10267,2022-11-23,South,Email
10268,2022-09-11,South,Paid Search
10269,2023-03-24,West,Paid Search
10270,2023-03-08,North,Organic
10271,2022-08-04,North,Social
10272,2022-01-17,South,Paid Search
10273,2022-04-21,West,Email
10274,2023-12-01,West,Organic
10275,2022-11-02,East,Organic
10276,2022-12-19,East,Organic
10277,2022-12-07,East,Paid Search
10278,2023-07-26,East,Paid Search
10279,2022-02-17,North,Organic
10280,2022-03-02,East,Paid Search
10281,2022-07-21,West,Organic
10282,2022-12-22,South,Paid Search
10283,2023-05-05,East,Organic
10284,2022-12-25,South,Organic
10285,2022-11-19,East,Organic
10286,2023-11-16,North,Email
10287,2022-04-28,East,Referral
10288,2023-02-22,West,Email
10289,2023-01-31,North,Organic
10290,2022-12-12,South,Referral
10291,2023-08-13,North,Referral
10292,2022-07-14,North,Paid Search
10293,2023-11-28,West,Organic
10294,2022-08-31,South,Email
10295,2023-02-02,South,Referral
10296,2023-01-16,North,Social
10297,2023-09-13,West,Email
10298,2022-11-17,North,Email
10299,2022-07-27,East,Referral
10300,2022-01-16,South,Organic
10301,2022-09-23,North,Organic
10302,2023-08-27,East,Social
10303,2022-01-08,North,Organic
10304,2023-10-17,East,Paid Search
10305,2023-02-01,North,Organic
10306,2022-04-13,East,Organic
10307,2022-08-09,West,Organic
10308,2023-02-09,East,Paid Search
10309,2022-08-19,North,Paid Search
10310,2022-03-21,East,Paid Search
10311,2023-05-02,West,Organic
10312,2023-05-06,North,Referral
10313,2022-03-28,North,Email
10314,2022-07-25,West,Referral
10315,2022-06-28,North,Paid Search
10316,2023-04-27,East,Organic
10317,2023-06-18,West,Social
10318,2023-06-15,North,Social
10319,2023-11-17,East,Organic
10320,2023-07-16,East,Email
10321,2022-08-23,South,Email
10322,2022-03-20,West,Organic
10323,2023-03-25,North,Paid Search
10324,2023-10-31,South,Organic
10325,2023-12-13,West,Organic
10326,2022-06-18,North,Social
10327,2022-06-22,West,Paid Search
10328,2022-01-28,North,Social
10329,2022-04-14,South,Email
10330,2023-02-10,North,Referral
10331,2023-02-04,East,Paid Search
10332,2022-09-28,West,Paid Search
10333,2022-08-15,West,Organic
10334,2023-08-29,West,Email
10335,2022-12-02,East,Paid Search
10336,2023-08-14,West,Email
10337,2023-12-05,East,Paid Search
10338,2022-08-20,West,Organic
10339,2022-05-28,East,Social
10340,2023-11-27,West,Social
10341,2023-04-09,North,Paid Search
10342,2022-08-01,South,Email
10343,2023-03-30,East,Paid Search
10344,2023-01-11,North,Social
10345,2023-10-24,North,Paid Search
10346,2022-07-06,West,Paid Search
10347,2023-12-25,South,Organic
10348,2023-11-15,North,Organic
10349,2022-05-12,South,Social
10350,2022-05-01,South,Paid Search
10351,2023-01-25,East,Organic
10352,2022-02-02,West,Organic
10353,2022-08-07,West,Paid Search
10354,2022-11-14,East,Email
10355,2023-12-09,East,Paid Search
10356,2023-12-26,South,Social
10357,2022-04-21,West,Social
10358,2023-10-13,North,Paid Search
10359,2022-03-08,North,Social
10360,2023-07-01,West,Organic
10361,2023-09-10,West,Paid Search
10362,2023-10-13,South,Organic
10363,2022-06-13,East,Organic
10364,2023-10-15,South,Organic
10365,2022-03-26,South,Organic
10366,2023-01-14,South,Social
10367,2022-12-09,North,Paid Search
10368,2022-08-19,East,Referral
10369,2022-01-17,South,Paid Search
10370,2023-07-18,East,Email
10371,2022-09-02,North,Organic
10372,2023-04-29,West,Paid Search
10373,2022-10-27,East,Paid Search
10374,2022-09-30,West,Referral
10375,2023-10-09,North,Referral
10376,2022-03-10,East,Organic
10377,2023-06-22,West,Email
10378,2023-06-30,South,Email
10379,2022-10-05,North,Paid Search
10380,2022-07-11,North,Organic
10381,2022-01-04,North,Email
10382,2023-11-15,South,Social
10383,2023-11-23,South,Paid Search
10384,2022-06-25,North,Paid Search
10385,2022-01-24,East,Organic
10386,2022-03-31,North,Referral
10387,2022-02-19,South,Organic
10388,2023-08-30,East,Organic
10389,2023-10-14,North,Organic
10390,2022-04-22,North,Social
10391,2023-06-30,North,Email
10392,2022-05-11,North,Organic
10393,2022-09-26,South,Organic
10394,2023-03-14,North,Social
10395,2023-06-10,North,Paid Search
10396,2023-10-01,West,Organic
10397,2022-02-02,West,Referral
10398,2022-05-24,North,Organic
10399,2022-07-24,South,Paid Search
10400,2022-08-15,South,Organic
10401,2023-12-30,West,Social
10402,2023-07-22,West,Social
10403,2022-08-22,North,Paid Search
10404,2023-12-11,North,Email
10405,2022-12-31,South,Referral
10406,2023-01-01,West,Social
10407,2022-11-13,West,Paid Search
10408,2022-04-16,North,Paid Search
10409,2023-11-14,East,Social
10410,2022-01-11,North,Organic
10411,2022-05-08,East,Organic
10412,2022-06-17,West,Organic
10413,2022-07-23,South,Social
10414,2022-04-07,North,Organic
10415,2022-01-14,East,Organic
10416,2023-05-10,South,Email
10417,2023-12-09,West,Organic
10418,2022-03-30,South,Organic
10419,2022-08-05,West,Paid Search
10420,2023-01-05,North,Organic
10421,2023-11-09,North,Referral
10422,2023-05-22,South,Organic
10423,2023-07-14,North,Social
10424,2023-03-01,South,Paid Search
10425,2022-11-01,East,Organic
10426,2022-05-26,North,Organic
10427,2023-09-23,North,Paid Search
10428,2023-08-11,North,Paid Search
10429,2022-01-19,North,Organic
10430,2023-06-07,West,Referral
10431,2022-03-03,West,Paid Search
10432,2023-06-24,North,Referral
10433,2023-08-26,West,Organic
10434,2022-04-06,East,Organic
10435,2022-11-13,West,Email
10436,2022-04-01,South,Organic
10437,2023-02-19,South,Organic
10438,2023-11-09,South,Organic
10439,2022-03-01,West,Organic
10440,2022-10-18,East,Social
10441,2023-12-12,South,Organic
10442,2022-08-08,North,Referral
10443,2022-04-07,East,Organic
10444,2022-12-23,West,Paid Search
10445,2023-01-07,South,Paid Search
10446,2023-04-29,East,Paid Search
10447,2022-08-18,South,Social
10448,2023-11-29,South,Social
10449,2023-01-16,East,Organic
10450,2022-07-29,West,Paid Search
10451,2023-12-03,West,Social
10452,2023-11-07,South,Organic
10453,2022-12-31,South,Paid Search
10454,2022-01-19,South,Organic
10455,2023-03-12,North,Paid Search
10456,2023-02-10,South,Paid Search
10457,2022-04-19,North,Paid Search
10458,2023-04-08,South,Social
10459,2023-09-06,North,Paid Search
10460,2022-03-19,South,Referral
10461,2023-06-13,West,Email
10462,2022-04-13,North,Paid Search
10463,2023-07-01,East,Paid Search
10464,2022-11-02,West,Paid Search
10465,2022-01-05,East,Social
10466,2023-12-07,North,Organic
10467,2022-05-02,South,Referral
10468,2023-03-12,East,Email
10469,2022-05-13,East,Email
10470,2023-11-13,North,Paid Search
10471,2023-06-23,South,Paid Search
10472,2023-08-11,East,Email
10473,2022-11-12,North,Email
10474,2022-12-08,East,Organic
10475,2023-04-09,North,Email
10476,2023-07-27,South,Paid Search
10477,2023-09-11,West,Email
10478,2022-01-14,North,Paid Search
10479,2023-04-30,East,Organic
10480,2022-03-21,South,Social
10481,2022-07-30,South,Paid Search
10482,2023-08-29,West,Paid Search
10483,2022-07-02,South,Email
10484,2023-08-05,North,Email
10485,2022-12-04,West,Social
10486,2022-06-19,East,Organic
10487,2022-09-01,East,Organic
10488,2023-01-23,North,Email
10489,2023-07-13,North,Organic
10490,2023-03-19,East,Organic
10491,2023-11-13,North,Organic
10492,2023-09-26,North,Organic
10493,2023-07-04,West,Referral
10494,2023-03-17,South,Organic
10495,2022-07-31,North,Organic
10496,2022-10-29,North,Referral
10497,2022-03-28,South,Referral
10498,2022-10-01,East,Organic
10499,2023-11-08,West,Social
10500,2022-11-07,North,Organic
10501,2022-03-25,North,Social
10502,2023-04-21,East,Organic
10503,2023-12-04,South,Paid Search
10504,2023-09-26,South,Organic
10505,2022-07-20,West,Email
10506,2022-11-28,East,Organic
10507,2023-01-23,South,Paid Search
10508,2022-06-30,West,Email
10509,2022-07-16,North,Organic
10510,2022-06-22,West,Social
10511,2023-12-28,East,Paid Search
10512,2023-06-29,East,Organic
10513,2023-09-06,West,Organic
10514,2023-08-20,East,Paid Search
10515,2023-12-02,South,Organic
10516,2022-03-18,North,Paid Search
10517,2023-10-06,East,Email
10518,2022-02-18,East,Paid Search
10519,2022-12-14,North,Paid Search
10520,2023-03-10,East,Social
10521,2022-09-19,East,Organic
10522,2022-04-17,South,Email
10523,2022-05-21,North,Social
10524,2023-08-26,South,Organic
10525,2022-08-21,North,Email
10526,2022-08-15,North,Referral
10527,2023-11-06,South,Paid Search
10528,2022-04-16,North,Referral
10529,2023-10-31,North,Organic
10530,2023-11-04,East,Paid Search
10531,2023-03-13,South,Organic
10532,2022-05-01,West,Organic
10533,2022-04-24,West,Referral
10534,2022-07-27,East,Organic
10535,2023-02-26,West,Referral
10536,2022-04-23,West,Email
10537,2022-11-29,South,Referral
10538,2022-03-26,East,Referral
10539,2023-01-30,North,Paid Search
10540,2022-01-16,East,Referral
10541,2023-06-02,South,Social
10542,2022-02-10,North,Paid Search
10543,2022-05-23,North,Email
10544,2022-05-08,West,Organic
10545,2023-08-30,South,Organic
10546,2022-02-08,North,Organic
10547,2022-11-10,North,Paid Search
10548,2023-03-08,South,Organic
10549,2023-01-12,West,Paid Search
10550,2023-05-12,West,Email
10551,2023-08-10,South,Email
10552,2022-10-15,North,Social
10553,2023-08-28,North,Referral
10554,2022-08-21,South,Social
10555,2023-12-20,West,Email
10556,2023-01-04,East,Organic
10557,2023-06-22,South,Referral
10558,2023-10-01,East,Organic
10559,2023-08-02,South,Organic
10560,2023-09-14,East,Organic
10561,2023-01-27,East,Email
10562,2022-02-01,East,Email
10563,2022-12-26,East,Organic
10564,2022-05-13,West,Social
10565,2023-10-12,South,Organic
10566,2022-06-22,North,Organic
10567,2022-06-16,North,Paid Search
10568,2022-07-02,East,Paid Search
10569,2023-04-15,East,Social
10570,2023-02-21,East,Organic
10571,2023-11-24,East,Organic
10572,2022-10-31,North,Organic
10573,2022-07-26,East,Social
10574,2022-02-05,East,Referral
10575,2022-01-06,South,Email
10576,2022-09-30,South,Email
10577,2023-11-07,North,Referral
10578,2023-01-18,South,Organic
10579,2023-10-15,West,Organic
10580,2022-03-16,West,Paid Search
10581,2022-03-10,East,Organic
10582,2023-09-01,South,Paid Search
10583,2022-03-19,East,Paid Search
10584,2022-02-07,East,Organic
10585,2022-10-22,South,Paid Search
10586,2023-11-07,West,Paid Search
10587,2023-05-19,North,Organic
10588,2022-03-14,North,Social
10589,2023-09-04,North,Email
10590,2023-09-08,North,Organic
10591,2023-08-08,West,Organic
10592,2023-10-21,South,Organic
10593,2022-06-25,North,Organic
10594,2023-12-17,South,Organic
10595,2022-08-23,South,Organic
10596,2023-08-09,South,Social
10597,2023-02-27,North,Social
10598,2023-07-24,East,Social
10599,2023-04-04,North,Email
10600,2023-04-15,West,Email
10601,2023-03-26,North,Social
10602,2023-07-23,East,Social
10603,2023-06-24,West,Social
10604,2022-04-09,North,Social
10605,2023-08-27,North,Social
10606,2023-01-27,West,Paid Search
10607,2022-08-24,South,Organic
10608,2023-01-11,East,Organic
10609,2023-12-07,North,Paid Search
10610,2023-09-19,North,Organic
10611,2023-09-01,East,Organic
10612,2022-12-04,West,Organic
10613,2023-07-27,North,Organic
10614,2022-10-09,West,Referral
10615,2023-05-16,East,Paid Search
10616,2023-04-12,North,Organic
10617,2022-07-02,South,Paid Search
10618,2022-07-14,North,Organic
10619,2022-02-14,South,Email
10620,2022-04-13,East,Email
10621,2022-11-13,South,Organic
10622,2022-12-15,North,Paid Search
10623,2022-05-01,East,Organic
10624,2022-11-01,East,Email
10625,2023-03-18,East,Referral
10626,2022-06-19,East,Referral
10627,2022-09-04,North,Organic
10628,2022-09-26,East,Social
10629,2023-01-04,South,Social
10630,2022-09-25,South,Social
10631,2023-06-22,North,Organic
10632,2022-08-28,East,Paid Search
10633,2022-11-13,East,Organic
10634,2022-10-05,South,Organic
10635,2022-05-14,West,Email
10636,2023-05-16,West,Paid Search
10637,2022-06-21,North,Organic
10638,2022-08-05,East,Social
10639,2023-08-02,South,Paid Search
10640,2023-11-24,West,Referral
10641,2023-05-05,North,Social
10642,2023-10-31,South,Social
10643,2023-09-16,South,Social
10644,2022-12-18,North,Organic
10645,2023-07-17,East,Organic
10646,2022-08-28,South,Referral
10647,2022-12-03,North,Organic
10648,2023-01-26,East,Paid Search
10649,2023-12-03,West,Email
10650,2023-09-12,West,Organic
10651,2022-12-24,South,Organic
10652,2023-04-22,South,Paid Search
10653,2022-05-28,North,Paid Search
10654,2023-08-11,West,Email
10655,2023-02-08,East,Organic
10656,2023-01-24,East,Paid Search
10657,2023-07-14,West,Organic
10658,2023-04-08,North,Email
10659,2022-02-22,East,Organic
10660,2022-07-30,North,Organic
10661,2022-05-10,North,Social
10662,2023-06-21,South,Organic
10663,2022-01-26,South,Social
10664,2022-05-28,West,Organic
10665,2023-03-13,South,Organic
10666,2023-05-23,West,Organic
10667,2023-01-03,East,Social
10668,2023-09-21,East,Paid Search
10669,2023-11-02,West,Organic
10670,2022-04-07,South,Paid Search
10671,2023-11-27,South,Paid Search
10672,2023-03-25,North,Social
10673,2023-04-10,North,Referral
10674,2022-03-11,West,Paid Search
10675,2023-03-30,South,Paid Search
10676,2023-06-14,South,Paid Search
10677,2023-02-28,North,Referral
10678,2022-03-03,South,Paid Search
10679,2023-01-17,East,Organic
10680,2023-11-15,South,Referral
10681,2023-06-13,West,Referral
10682,2022-04-11,East,Paid Search
10683,2023-12-02,West,Paid Search
10684,2023-12-01,North,Email
10685,2022-05-04,East,Social
10686,2023-08-08,North,Paid Search
10687,2022-10-24,South,Paid Search
10688,2023-03-10,East,Organic
10689,2022-11-21,East,Paid Search
10690,2023-07-26,North,Organic
10691,2023-12-29,West,Social
10692,2023-08-04,North,Organic
10693,2023-11-11,East,Paid Search
10694,2023-11-22,West,Social
10695,2022-03-07,East,Paid Search
10696,2022-07-04,West,Organic
10697,2023-06-11,East,Referral
10698,2023-03-07,West,Organic
10699,2022-02-06,East,Social
10700,2022-03-11,East,Organic
10701,2023-01-15,North,Paid Search
10702,2023-03-26,East,Email
10703,2022-05-03,North,Paid Search
10704,2022-05-06,West,Paid Search
10705,2022-04-05,North,Organic
10706,2023-02-17,North,Paid Search
10707,2022-01-06,West,Organic
10708,2023-02-22,North,Social
10709,2022-12-14,South,Email
10710,2022-12-07,East,Paid Search
10711,2023-05-11,North,Organic
10712,2023-01-17,North,Paid Search
10713,2023-06-16,South,Paid Search
10714,2023-07-12,North,Organic
10715,2023-11-03,North,Email
10716,2023-08-07,North,Organic
10717,2023-01-13,South,Organic
10718,2022-12-26,South,Social
10719,2022-06-22,North,Organic
10720,2023-03-14,East,Organic
10721,2022-04-12,East,Email
10722,2023-11-11,North,Email
10723,2023-09-09,South,Organic
10724,2022-03-29,West,Organic
10725,2023-07-28,East,Paid Search
10726,2022-03-27,South,Email
10727,2023-06-11,South,Paid Search
10728,2022-03-06,North,Email
10729,2022-12-23,West,Social
10730,2023-04-26,West,Referral
10731,2023-06-17,West,Paid Search
10732,2022-11-02,North,Organic
10733,2023-11-04,South,Organic
10734,2023-07-20,North,Organic
10735,2022-06-02,South,Paid Search
10736,2023-05-05,South,Social
10737,2023-06-18,East,Paid Search
10738,2022-09-01,North,Organic
10739,2023-06-23,West,Paid Search
10740,2023-10-18,North,Referral
10741,2023-08-20,North,Organic
10742,2023-07-11,West,Social
10743,2023-04-09,East,Social
10744,2022-07-17,South,Paid Search
10745,2023-08-04,East,Email
10746,2022-09-23,North,Paid Search
10747,2023-01-24,North,Organic
10748,2022-08-18,South,Paid Search
10749,2022-08-17,South,Organic
10750,2022-04-26,East,Email
10751,2023-12-03,North,Social
10752,2022-04-18,East,Organic
10753,2022-03-04,West,Paid Search
10754,2023-11-15,North,Organic
10755,2023-02-10,North,Organic
10756,2022-11-16,South,Email
10757,2023-06-23,West,Organic
10758,2022-10-07,East,Social
10759,2022-04-04,East,Organic
10760,2023-06-17,South,Social
10761,2022-05-09,North,Paid Search
10762,2023-02-08,East,Paid Search
10763,2023-11-24,North,Social
10764,2023-11-15,East,Paid Search
10765,2022-09-21,North,Organic
10766,2023-07-24,South,Social
10767,2023-03-24,East,Paid Search
10768,2022-12-16,South,Organic
10769,2022-04-13,East,Paid Search
10770,2022-10-02,South,Email
10771,2023-04-21,West,Email
10772,2023-12-22,West,Social
10773,2022-01-04,West,Paid Search
10774,2023-06-08,East,Organic
10775,2023-09-10,East,Organic
10776,2023-11-26,East,Organic
10777,2022-11-06,South,Social
10778,2022-03-28,South,Organic
10779,2022-07-17,East,Email
10780,2023-09-13,North,Email
10781,2023-10-03,North,Social
10782,2023-04-11,West,Organic
10783,2022-03-31,North,Organic
10784,2022-03-31,East,Referral
10785,2022-12-16,East,Email
10786,2023-03-06,North,Paid Search
10787,2022-01-24,West,Social
10788,2023-05-16,North,Referral
10789,2023-02-02,West,Organic
10790,2022-01-09,West,Referral
10791,2022-03-11,North,Organic
10792,2022-11-28,North,Referral
10793,2023-06-12,South,Organic
10794,2023-08-26,South,Organic
10795,2022-11-11,North,Organic
10796,2022-08-04,West,Social
10797,2023-12-08,North,Referral
10798,2022-12-01,West,Organic
10799,2022-08-19,North,Paid Search
10800,2022-11-19,West,Organic
10801,2022-01-09,North,Organic
10802,2022-08-09,South,Social
10803,2023-01-12,East,Organic
10804,2023-11-02,North,Referral
10805,2023-06-23,West,Referral
10806,2023-07-25,North,Organic
10807,2023-02-02,East,Paid Search
10808,2022-03-22,East,Referral
10809,2022-10-13,East,Social
10810,2023-12-29,North,Email
10811,2022-02-02,North,Organic
10812,2023-10-04,North,Organic
10813,2023-05-15,South,Social
10814,2022-07-27,North,Paid Search
10815,2023-07-22,West,Email
10816,2023-09-03,East,Social
10817,2022-02-01,East,Paid Search
10818,2022-03-19,South,Organic
10819,2023-05-01,North,Paid Search
10820,2023-12-31,East,Social
10821,2022-01-18,South,Paid Search
10822,2023-05-01,South,Organic
10823,2022-04-10,South,Referral
10824,2023-04-20,East,Email
10825,2023-04-01,West,Paid Search
10826,2022-03-08,North,Social
10827,2023-05-12,South,Paid Search
10828,2023-10-17,North,Referral
10829,2023-09-23,South,Social
10830,2022-01-22,East,Organic
10831,2022-06-29,North,Paid Search
10832,2022-06-25,East,Organic
10833,2022-11-27,South,Email
10834,2022-04-15,North,Email
10835,2023-09-16,West,Paid Search
10836,2023-07-22,South,Referral
10837,2023-08-14,West,Paid Search
10838,2022-05-25,South,Social
10839,2022-01-11,West,Email
10840,2023-10-27,South,Paid Search
10841,2022-07-30,South,Organic
10842,2023-04-25,West,Email
10843,2023-10-26,South,Email
10844,2022-01-27,South,Organic
10845,2022-01-04,West,Social
10846,2022-01-04,East,Paid Search
10847,2022-04-25,East,Paid Search
10848,2022-02-07,East,Social
10849,2023-08-22,West,Paid Search
10850,2023-03-19,West,Email
10851,2023-12-17,East,Email
10852,2023-08-09,South,Organic
10853,2023-12-05,North,Paid Search
10854,2022-06-24,East,Organic
10855,2022-07-30,West,Organic
10856,2023-09-13,South,Email
10857,2022-06-28,North,Organic
10858,2022-02-11,South,Referral
10859,2023-05-04,East,Paid Search
10860,2023-08-08,West,Organic
10861,2023-12-08,North,Referral
10862,2023-11-09,East,Paid Search
